City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
398,Zlitan,IN,77.97,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
402,Fuerte Olimpo,IN,81.21,clear sky,-21.0415,-57.8738,Hospedaje DAMI
404,Samana,IN,84.16,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
405,Lazaro Cardenas,IN,84.81,broken clouds,17.9583,-102.2,quinta antigua
407,Meadow Lake,IN,85.6,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
408,Bonfim,IN,82.42,overcast clouds,3.0833,-59.95,
414,Ouallam,IN,84.07,scattered clouds,14.3188,2.0866,
417,Tateyama,IN,85.01,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
418,Shellbrook,IN,78.03,clear sky,53.2168,-106.4011,Shellbrook Hotel
422,Mashhad,IN,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
424,Jilikul,IN,76.32,clear sky,37.4917,68.5311,Mu vcjon Dursulton jud
430,Atikokan,IN,83.66,clear sky,48.7555,-91.6216,Quetico Inn (formerly Radisson)
435,Khor,IN,86.43,scattered clouds,47.8861,134.9464,Gostinitsa Deksi
437,Cockburn Town,IN,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
440,Shimoda,IN,78.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
443,Ouegoa,IN,77.99,clear sky,-20.35,164.4333,
446,Sibu,IN,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
447,Eydhafushi,IN,82.0,broken clouds,5.1033,73.0708,Soneva Fushi
448,Vostok,IN,83.23,broken clouds,46.4856,135.8833,
450,Amurzet,IN,80.98,light rain,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
455,Lubao,IN,78.87,moderate rain,14.9167,120.55,Hacienda Gracia
456,Erzin,IN,79.52,clear sky,36.9559,36.2,Artemis Otel
457,Kuantan,IN,77.11,overcast clouds,3.8077,103.32600000000001,Hotel Sentral Kuantan
458,Aswan,IN,88.12,clear sky,24.0934,32.907,Nuba Nile
460,Sabang,IN,83.16,overcast clouds,5.8933,95.3214,Hotel Citra
465,Jutai,IN,80.02,broken clouds,-5.1833,-68.9,
467,Melchor De Mencos,IN,84.2,scattered clouds,17.0686,-89.1522,Xultun Farm
