City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
228,Noumea,-22.2763,166.4572,75.18,99,1,0.54,IN,clear sky
229,Pingdingshan,33.7385,113.3012,75.4,86,4,3.02,IN,clear sky
230,Sitka,57.0531,-135.33,57.09,82,90,6.91,IN,light rain
231,Watsa,3.0372,29.5355,63.79,96,96,2.35,IN,overcast clouds
232,Piracanjuba,-17.3028,-49.0167,66.97,38,0,7.43,IN,clear sky
233,Cayenne,4.9333,-52.3333,82.09,80,0,1.99,IN,clear sky
234,Nanortalik,60.1432,-45.2371,43.23,97,100,10.63,IN,overcast clouds
235,Fengrun,39.8333,118.1167,78.75,82,28,4.47,IN,light rain
236,Lagos,6.5833,3.75,77.32,82,95,4.76,IN,overcast clouds
237,Jaru,-10.4389,-62.4664,81.91,40,10,2.28,IN,clear sky
238,Bethel,41.3712,-73.414,79.16,60,20,8.05,IN,few clouds
239,San Andres,12.5847,-81.7006,86.02,79,90,14.97,IN,overcast clouds
240,Fare,-16.7,-151.0167,78.42,69,48,10.16,IN,scattered clouds
241,Nalut,30.3333,10.85,83.53,21,0,12.3,IN,clear sky
242,Ambon,-3.6954,128.1814,76.84,86,100,9.64,IN,overcast clouds
243,Canmore,51.0834,-115.3521,82.51,23,15,10.36,IN,few clouds
244,Tabas,33.5959,56.9244,90.99,12,0,7.72,IN,clear sky
245,Margate,51.3813,1.3862,64.11,87,92,1.99,IN,overcast clouds
246,Weihai,37.5017,122.1136,78.93,75,63,3.09,IN,broken clouds
247,Alekseyevsk,57.8406,108.3492,68.18,68,74,3.87,IN,broken clouds
248,Knysna,-34.0363,23.0471,48.58,40,25,5.48,IN,scattered clouds
249,Fukue,32.6881,128.8419,79.68,79,98,20.29,IN,light rain
250,Borogontsy,62.6683,131.1683,65.73,79,38,8.75,IN,scattered clouds
251,Lebu,-37.6167,-73.65,51.22,80,99,17.67,IN,overcast clouds
252,San Quintin,30.4833,-115.95,72.19,74,93,10.6,IN,overcast clouds
253,Mareeba,-17.0,145.4333,72.32,81,73,2.86,IN,broken clouds
254,Rupert,42.6191,-113.6772,89.55,19,1,10.36,IN,clear sky
255,Russell,32.3502,-85.1999,91.11,62,1,4.61,IN,clear sky
256,Dadri,28.5667,77.55,89.46,70,53,5.44,IN,broken clouds
257,Narsaq,60.9167,-46.05,50.22,88,69,2.37,IN,broken clouds
258,Auki,-8.7676,160.7034,83.16,71,83,3.02,IN,light rain
259,Kampot,10.6167,104.1833,78.85,87,100,8.14,IN,overcast clouds
260,Wajid,3.8093,43.2471,71.89,70,66,22.21,IN,broken clouds
261,Walvis Bay,-22.9575,14.5053,66.09,11,5,12.66,IN,clear sky
262,Khujner,23.7833,76.6,78.1,87,100,10.67,IN,overcast clouds
263,Toamasina,-18.1667,49.3833,66.2,88,40,6.91,IN,light rain
264,Huarmey,-10.0681,-78.1522,66.02,77,17,8.3,IN,few clouds
265,Northam,51.0333,-4.2167,64.29,93,47,6.8,IN,scattered clouds
266,Dunedin,-45.8742,170.5036,45.81,52,83,17.0,IN,broken clouds
267,Namatanai,-3.6667,152.4333,83.03,71,11,3.6,IN,few clouds
268,Port Blair,11.6667,92.75,81.95,83,100,19.89,IN,moderate rain
269,Samarai,-10.6167,150.6667,79.9,85,95,13.85,IN,overcast clouds
270,Coquimbo,-29.9533,-71.3436,56.93,76,40,6.91,IN,scattered clouds
271,Peno,56.9262,32.7426,50.09,74,15,2.57,IN,few clouds
272,Tabat,-2.635,115.2274,70.43,90,26,2.15,IN,scattered clouds
273,Nuevo Progreso,23.1667,-97.95,94.59,53,2,4.0,IN,clear sky
274,Sarh,9.1429,18.3923,78.71,89,20,0.0,IN,thunderstorm
275,Jackson,42.4165,-122.8345,96.93,22,1,3.44,IN,clear sky
276,San Policarpo,12.1791,125.5072,81.79,74,89,9.44,IN,overcast clouds
277,Coruripe,-10.1256,-36.1756,73.38,79,0,13.13,IN,clear sky
278,Vao,-22.6667,167.4833,71.58,83,3,7.4,IN,clear sky
279,Champerico,14.3,-91.9167,91.94,73,91,3.94,IN,overcast clouds
280,Lagoa,39.05,-27.9833,69.51,91,41,13.89,IN,scattered clouds
281,Delano,35.7688,-119.247,103.06,12,1,11.5,IN,clear sky
282,Tsalka,41.5946,44.0891,59.23,93,91,2.3,IN,overcast clouds
283,Monrovia,6.3005,-10.7969,74.97,80,99,8.86,IN,overcast clouds
284,Lake Havasu City,34.4839,-114.3224,99.21,34,1,14.97,IN,clear sky
285,Moengo,5.6167,-54.4,74.7,97,100,2.93,IN,light rain
286,Riosucio,5.4216,-75.7032,63.03,98,100,2.13,IN,moderate rain
287,Puntarenas,9.9763,-84.8384,82.33,91,100,4.54,IN,light rain
288,Uddevalla,58.3478,11.9424,67.01,84,0,3.18,IN,clear sky
