City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Burayevo,RU,2021-07-23 21:35:57,55.8407,55.4083,56.73,71,76,0.87
182,Canto Do Buriti,BR,2021-07-23 21:35:57,-8.11,-42.9444,78.53,46,2,10.16
183,Nabire,ID,2021-07-23 21:35:57,-3.3667,135.4833,74.46,93,100,3.69
184,Sitka,US,2021-07-23 21:35:58,57.0531,-135.33,57.09,88,75,5.75
185,Cabo San Lucas,MX,2021-07-23 21:33:38,22.8909,-109.9124,100.51,55,1,9.22
186,Belaya Gora,RU,2021-07-23 21:35:58,68.5333,146.4167,59.77,42,98,7.83
187,Nishihara,JP,2021-07-23 21:35:59,26.1842,127.7558,80.26,97,90,25.32
188,East London,ZA,2021-07-23 21:33:49,-33.0153,27.9116,52.99,66,94,3.67
189,Hammerfest,NO,2021-07-23 21:35:59,70.6634,23.6821,45.05,93,75,16.11
190,Thompson,CA,2021-07-23 21:33:14,55.7435,-97.8558,71.76,37,75,16.11
191,Dwarka,IN,2021-07-23 21:35:59,22.2394,68.9678,82.4,85,100,17.45
192,Cortes,ES,2021-07-23 21:36:00,41.9395,-1.4396,77.05,66,56,11.95
193,Flinders,AU,2021-07-23 21:36:00,-34.5833,150.8552,50.38,89,96,1.01
194,Ulagan,RU,2021-07-23 21:36:01,50.6321,87.9563,54.61,95,80,2.1
195,General Roca,AR,2021-07-23 21:36:01,-39.0333,-67.5833,59.4,50,100,11.63
196,Yima,CN,2021-07-23 21:36:01,34.7381,111.8839,70.45,96,92,3.67
197,Kavieng,PG,2021-07-23 21:36:02,-2.5744,150.7967,82.8,78,15,15.21
198,Atar,MR,2021-07-23 21:36:02,20.5169,-13.0499,91.54,22,4,6.55
199,Tuatapere,NZ,2021-07-23 21:33:55,-46.1333,167.6833,43.83,83,54,5.53
200,Marzuq,YE,2021-07-23 21:36:02,14.4,46.4667,68.04,83,100,6.17
201,El Seibo,DO,2021-07-23 21:36:03,18.7641,-69.0375,88.72,69,92,11.81
202,Norman Wells,CA,2021-07-23 21:36:03,65.282,-126.8329,59.04,72,75,12.66
203,Naze,JP,2021-07-23 21:36:03,28.3667,129.4833,77.81,89,96,28.54
204,Bambous Virieux,MU,2021-07-23 21:36:04,-20.3428,57.7575,68.25,83,75,5.75
205,La Plata,AR,2021-07-23 21:36:04,-34.9215,-57.9545,69.71,72,68,3.56
206,Dikson,RU,2021-07-23 21:36:04,73.5069,80.5464,44.65,70,99,15.17
207,Pevek,RU,2021-07-23 21:36:05,69.7008,170.3133,37.69,96,100,2.82
208,Erenhot,CN,2021-07-23 21:36:05,43.6475,111.9767,78.55,48,98,6.98
209,Provideniya,RU,2021-07-23 21:35:32,64.3833,-173.3,53.82,62,56,7.9
210,Porto Santo,PT,2021-07-23 21:34:06,33.072,-16.3415,71.51,78,20,12.66
211,Winslow,US,2021-07-23 21:36:06,35.0242,-110.6974,82.58,47,90,6.91
212,Tari,NG,2021-07-23 21:36:06,12.4086,4.4914,76.01,87,100,13.82
213,Hun,LY,2021-07-23 21:36:06,29.1268,15.9477,79.77,43,0,11.39
214,Saint-Pierre,RE,2021-07-23 21:36:07,-21.3393,55.4781,67.68,63,40,9.22
215,Sao Gabriel Da Cachoeira,BR,2021-07-23 21:36:07,-0.1303,-67.0892,78.6,89,40,3.44
216,Pombia,IT,2021-07-23 21:36:07,45.653,8.6336,80.24,74,0,2.3
